,County_Code,District_Code,School_Code,Subgroup,NoHFZ9_aerobic,NoStud9_aerobic,Perc9HFZ_aerobic,Perc9NI_aerobic,Perc9NI_HR_aerobic,NoHFZ9_bodycomp,NoStud9_bodycomp,Perc9HFZ_bodycomp,Perc9NI_bodycomp,Perc9NI_HR_bodycomp,Mean_Academic_Test_Score,Students_Tested_Academic,Total_Tested_At_Subgroup_Level_Academic
55,1.0,61150.0,135533.0,Economic_disadv,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,,3.66666666667,12.0
56,1.0,61150.0,135533.0,NOT_economic_disadv,,3.33333333333,,,,,3.33333333333,,,,327.9,6.75,37.0
57,1.0,61168.0,132746.0,All,17.0,39.5,43.05,32.85,24.1,17.0,39.5,43.35,33.75,22.9,315.5,31.5,103.666666667
58,1.0,61168.0,132746.0,Economic_disadv,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,309.9,21.25,46.6666666667
59,1.0,61168.0,132746.0,NOT_economic_disadv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.3,16.0,71.0
60,1.0,61176.0,1.0,All,,3.0,,,,,3.0,,,,,2.5,20.0
61,1.0,61176.0,1.0,Economic_disadv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,6.0
62,1.0,61176.0,1.0,NOT_economic_disadv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,14.0
63,1.0,61176.0,130062.0,All,419.666666667,536.333333333,78.2666666667,16.0333333333,5.7,398.333333333,536.333333333,74.2,16.7666666667,9.03333333333,369.26,247.333333333,701.0
64,1.0,61176.0,130062.0,Economic_disadv,82.6666666667,114.666666667,72.0666666667,19.2333333333,8.7,76.3333333333,114.666666667,66.8333333333,19.3333333333,13.8333333333,353.8,65.2,154.0
65,1.0,61176.0,130062.0,NOT_economic_disadv,330.666666667,414.0,80.0333333333,15.2666666667,4.7,316.0,414.0,76.2,16.2,7.6,407.066666667,231.4,547.0
66,1.0,61176.0,130435.0,All,,1.5,,,,,1.5,,,,354.0,7.0,20.5
67,1.0,61176.0,130435.0,Economic_disadv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,7.0
68,1.0,61176.0,130435.0,NOT_economic_disadv,,1.5,,,,,1.5,,,,354.0,7.5,16.5
69,1.0,61176.0,130534.0,All,11.0,25.6666666667,42.0333333333,42.6333333333,15.3333333333,15.6666666667,25.6666666667,59.1,17.2333333333,23.6666666667,362.566666667,19.1666666667,116.0
70,1.0,61176.0,130534.0,Economic_disadv,,2.0,,,,,2.0,,,,327.1,4.5,11.6666666667
71,1.0,61176.0,130534.0,NOT_economic_disadv,10.6666666667,23.6666666667,44.6666666667,41.8666666667,13.4666666667,15.3333333333,23.6666666667,63.1666666667,14.4333333333,22.4,365.333333333,19.2,106.5
72,1.0,61176.0,134270.0,All,351.666666667,451.0,77.7333333333,15.4666666667,6.8,344.333333333,451.0,76.2,15.7333333333,8.06666666667,391.3,286.166666667,789.0
73,1.0,61176.0,134270.0,Economic_disadv,44.0,68.3333333333,62.4,25.5,12.1,43.6666666667,68.3333333333,62.7333333333,18.6,18.6666666667,370.0,57.8,139.5
74,1.0,61176.0,134270.0,NOT_economic_disadv,304.666666667,379.333333333,80.2,13.8,6.0,297.666666667,379.333333333,78.4,15.3333333333,6.26666666667,413.48,282.8,649.5
75,1.0,61176.0,134452.0,All,162.666666667,274.666666667,59.0666666667,27.9333333333,13.0,170.333333333,274.666666667,62.2666666667,23.0666666667,14.6666666667,355.666666667,172.666666667,508.5
76,1.0,61176.0,134452.0,Economic_disadv,64.0,118.333333333,54.3,28.9666666667,16.7333333333,65.0,118.333333333,55.3,25.3666666667,19.3333333333,335.8,112.0,233.333333333
77,1.0,61176.0,134452.0,NOT_economic_disadv,95.0,151.666666667,62.4,27.4,10.2,102.0,151.666666667,67.6,21.0666666667,11.3333333333,371.0,117.2,296.5
78,1.0,61176.0,135244.0,All,436.0,504.0,86.4666666667,9.56666666667,3.96666666667,430.666666667,504.0,85.4,10.4333333333,4.16666666667,453.166666667,265.666666667,809.5
79,1.0,61176.0,135244.0,Economic_disadv,10.3333333333,16.0,64.4666666667,26.6666666667,8.86666666667,10.6666666667,16.0,67.4333333333,25.9333333333,6.63333333333,386.133333333,17.0,42.3333333333
80,1.0,61176.0,135244.0,NOT_economic_disadv,422.333333333,483.666666667,87.2666666667,8.8,3.93333333333,417.0,483.666666667,86.1666666667,9.66666666667,4.16666666667,455.866666667,304.8,768.0
81,1.0,61176.0,138693.0,All,317.0,451.333333333,70.3,17.7333333333,11.9666666667,296.333333333,451.333333333,65.7333333333,18.5666666667,15.7,349.22,219.5,604.5
